a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
05 67 64 DB 1C C1 39 A2 F961 046E 1.107422 1.107422 0.000000
57 BD 82 71 B9 CE 26 77 FF42 160A 5.509766 5.509766 0.000000
F5 F6 93 CB 04 70 01 90 01E7 141E 5.029297 5.029297 0.000000
AA B3 30 AB 2F 6C 24 35 F9BC BE9D -16.346680 -16.346680 0.000000
4E C5 F7 37 E1 44 5B 0E F84F DF00 -8.250000 -8.250000 0.000000
6E 9D 14 4F 8A 63 09 87 FCE0 7F40 31.812500 -32.187500 64.000000
28 22 8F 3F 5E DE 86 BE FAE9 2AB1 10.672852 10.672852 0.000000
4B AE 07 D0 27 4C 61 D0 FE49 FD05 -0.745117 -0.745117 0.000000
EA 4F 7C F9 D5 3E 5C 74 FF80 3FB8 15.929688 15.929688 0.000000
2E FE AA CE 1C 5E 4B 50 FC61 D7DB -10.036133 -10.036133 0.000000
2E 98 E5 62 04 95 03 FB FEF5 28EA 10.228516 10.228516 0.000000
B9 92 87 1C FB 8C C6 86 00D4 4221 16.532227 16.532227 0.000000
7D EA 3C C4 02 34 1B BE 005B 12A9 4.665039 4.665039 0.000000
AB 68 DA F1 D8 EA 04 1E 01CB 03C9 0.946289 0.946289 0.000000
99 F9 A9 61 47 B0 57 C5 FE74 B027 -19.961914 -19.961914 0.000000
FF 4C 17 65 2C 2E 9B B0 FF18 E3F1 -7.014648 -7.014648 0.000000
5E 03 D0 34 BD D0 5A F1 026E D558 -10.664062 -10.664062 0.000000
4B 8C D5 DD E0 20 7D 15 0111 D153 -11.668945 -11.668945 0.000000
B3 1B C6 40 E6 E7 51 CF FE87 E51C -6.722656 -6.722656 0.000000
0C DF 0C CD 32 F5 E9 8D 0210 1BA8 6.914062 6.914062 0.000000
45 20 08 82 6C 0A 5A DF 04AA 3614 13.519531 13.519531 0.000000
BA 28 7D 66 AC EE 96 BE 05C1 CBDB -13.036133 -13.036133 0.000000
6C ED 38 7D 86 57 99 B3 0597 8F89 -28.116211 -28.116211 0.000000
F9 EC 43 48 8E 84 AF 57 0614 1627 5.538086 5.538086 0.000000
BC 0A 57 93 C7 20 D3 A9 0129 274D 9.825195 9.825195 0.000000
94 AA E9 85 99 BA 82 D5 002C 631F 24.780273 24.780273 0.000000
BA 9F 2E 8E 66 8F 30 E0 0212 27DF 9.967773 9.967773 0.000000
53 AB 45 4E CC 83 4C C1 055B 1F4A 7.822266 7.822266 0.000000
E7 57 10 B8 52 42 22 3E F835 F751 -2.170898 -2.170898 0.000000
84 62 5C C2 B1 E2 32 3C FC87 1ABF 6.686523 6.686523 0.000000
96 42 52 76 D7 38 9E 98 FF51 CF67 -12.149414 -12.149414 0.000000
61 57 E5 FF E9 88 00 58 02D8 D101 -11.749023 -11.749023 0.000000
27 01 1F E2 A7 97 53 8D 0077 0A06 2.505859 2.505859 0.000000
8F BD 65 9F 20 55 1E 99 FE08 0C86 3.130859 3.130859 0.000000
60 D8 DB 00 1C DA BB C7 0247 1CB0 7.171875 7.171875 0.000000
B6 8F 0D C1 72 08 C8 F3 01BA DD99 -8.600586 -8.600586 0.000000
84 EB 13 5F 6E 9C 48 5E 02BA FDE0 -0.531250 -0.531250 0.000000
DE 11 8B 39 B6 75 89 4D 058C 5EAD 23.668945 23.668945 0.000000
C4 68 C3 59 AA C3 88 63 03E3 3E46 15.568359 15.568359 0.000000
3B CD 86 53 6C 1E 6F D4 00DE D09E -11.845703 -11.845703 0.000000
CF D4 C4 C8 E0 A2 5B 6B FC61 E5ED -6.518555 -6.518555 0.000000
77 17 35 E9 DD E0 4F 4E FFC9 F5FD -2.502930 -2.502930 0.000000
9D 92 57 A0 4C 3D E9 CD 07EB DBA0 -9.093750 -9.093750 0.000000
CC 11 7A 06 F9 84 CC 4D 0003 E239 -7.444336 -7.444336 0.000000
B0 B7 0D FA 30 A8 63 E1 026C 1245 4.567383 4.567383 0.000000
CB 53 2D 2F E5 CD 70 DC 0691 08B3 2.174805 2.174805 0.000000
8C BB FA 2A 47 AE D1 E1 FCCF EEC1 -4.311523 -4.311523 0.000000
3B B6 42 1A DB 52 FF 37 01E2 E6FB -6.254883 -6.254883 0.000000
FB FD B4 89 B5 BA C9 F4 00EF 1920 6.281250 6.281250 0.000000
91 0D D3 25 83 7E E6 56 0144 4EDD 19.715820 19.715820 0.000000
E9 82 CB 0E ED DF 41 07 FA9D FF7D -0.127930 -0.127930 0.000000
CD 41 8E F2 D3 79 1C 0D 0508 1F8A 7.884766 7.884766 0.000000
07 89 94 4F 34 F1 10 8E F9C6 D83D -9.940430 -9.940430 0.000000
A6 B6 08 9A 96 7D 97 C1 FACE 11C2 4.439453 4.439453 0.000000
CB F5 50 94 35 DA F2 00 0753 F99C -1.597656 -1.597656 0.000000
1C A1 76 1F 7A 97 4C 53 F87B 59DF 22.467773 22.467773 0.000000
07 48 40 61 97 10 D9 C9 0273 E57D -6.627930 -6.627930 0.000000
0D 33 33 E2 ED 99 4A F2 FCD0 F7B6 -2.072266 -2.072266 0.000000
AF 8F 9B A4 4B 3C AF 78 FCF8 BF96 -16.103516 -16.103516 0.000000
E1 35 E6 AF 84 33 F2 02 FBD0 162D 5.543945 5.543945 0.000000
09 D6 A0 7C D7 03 AC 04 01A1 2122 8.283203 8.283203 0.000000
1B 20 3B 02 B5 66 32 5F 03AB 14C6 5.193359 5.193359 0.000000
09 47 B2 6B 9E D1 D0 E0 0506 F5CB -2.551758 -2.551758 0.000000
32 06 3A 3C ED 29 43 AB 0160 F9E2 -1.529297 -1.529297 0.000000
6B 83 8C C7 52 17 2B 5B 0692 F5DE -2.533203 -2.533203 0.000000
87 B6 1E 64 D8 70 0B 6E F9FF 18C9 6.196289 6.196289 0.000000
90 4C FB C0 D1 AC 3F 94 FBB6 111B 4.276367 4.276367 0.000000
39 6C 02 D4 3B 9D 00 AB 07E3 F9DE -1.533203 -1.533203 0.000000
AC 2A 09 3A 7D 97 7F E9 FF82 C485 -14.870117 -14.870117 0.000000
F3 93 90 F5 44 3E E9 69 0358 EB0B -5.239258 -5.239258 0.000000
16 FE E0 58 AA 46 E8 FC FDC3 F773 -2.137695 -2.137695 0.000000
6B 7C C1 CD DC 1D 7A E3 F833 DEF4 -8.261719 -8.261719 0.000000
AE 8A 02 6E 1B AB 61 ED 048D 1BAD 6.918945 6.918945 0.000000
F3 B6 A9 2C AA 37 B3 6B 041C 2523 9.284180 9.284180 0.000000
43 4A 7C 14 F1 D7 98 85 00CE B50B -18.739258 -18.739258 0.000000
EB DF 52 10 55 4A FE CB 04DC F065 -3.901367 -3.901367 0.000000
42 18 CB 09 69 39 27 3A FE49 18AA 6.166016 6.166016 0.000000
3D F2 18 DC 61 D5 76 77 030F 16DA 5.712891 5.712891 0.000000
B4 C7 99 51 D4 E7 9A 4E F9A3 4DFC 19.496094 19.496094 0.000000
89 99 75 1D 04 D8 14 7C F997 1F03 7.752930 7.752930 0.000000
BE F5 2B DE 64 22 B6 D2 03A8 E218 -7.476562 -7.476562 0.000000
96 27 F8 78 C6 25 CF F5 02E0 1CE7 7.225586 7.225586 0.000000
A0 02 19 A0 CB 9F D8 03 FAF3 0909 2.258789 2.258789 0.000000
4F 2B D2 21 56 32 9E 8C FC3E 21D6 8.458984 8.458984 0.000000
A2 7F E1 B5 DA 7B FE 79 FD16 24DA 9.212891 9.212891 0.000000
6C A4 9C A4 7A A5 ED E2 FB39 6199 24.399414 24.399414 0.000000
C5 47 33 3B BC 9C 1C 94 0114 E1B4 -7.574219 -7.574219 0.000000
3F 76 E5 B6 49 FC 24 9D FCE6 25D7 9.459961 9.459961 0.000000
C8 26 2D AE 47 13 5F 39 FA8B EC46 -4.931641 -4.931641 0.000000
B0 35 8C 52 E1 0F 04 4D 0204 25A9 9.415039 9.415039 0.000000
49 8E CF 4E D7 09 0A EE FE66 E74D -6.174805 -6.174805 0.000000
2A 60 FD F0 0D C1 A7 E8 FCDF E9EC -5.519531 -5.519531 0.000000
49 5E 95 1E 65 2A C3 A3 FABE 3590 13.390625 13.390625 0.000000
BC CB 81 42 E5 A4 52 05 FDBE F092 -3.857422 -3.857422 0.000000
0E 37 04 B0 85 56 99 AE 0446 280A 10.009766 10.009766 0.000000
46 84 E0 CD 77 2B AB E3 0760 237D 8.872070 8.872070 0.000000
A0 AA 5C 7C 13 A5 40 ED FA24 1F62 7.845703 7.845703 0.000000
FA B3 EC 45 2B AC 22 0B FB21 13B2 4.923828 4.923828 0.000000
89 C7 0E 73 DE 09 8E 4E FD80 281B 10.026367 10.026367 0.000000
44 BD B9 36 8B 91 E3 94 FF03 EE3F -4.438477 -4.438477 0.000000
