a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
C6 51 3D 45 CA D2 CA BA CF EC -96.000000 -92.187500 3.812500
4D D0 B4 52 4C 51 2E 41 CE D9 -18.000000 -17.828125 0.171875
50 50 3A 4F CF 3E D0 50 4C 54 12.000000 10.000000 2.000000
49 CA CC 43 51 D1 3F C8 48 69 72.000000 67.250000 4.750000
46 45 3D CC 4A CC C6 52 C9 E9 -72.000000 -72.187500 0.187500
CE CE CF 44 C9 D1 43 52 48 6D 104.000000 107.875000 3.875000
51 CA 44 51 4D D0 C8 41 4A 6F 120.000000 111.750000 8.250000
51 50 BC CC D1 CE 51 4D D1 F4 -192.000000 -198.500000 6.500000
47 B2 3A CF 4E 4C BC D0 42 6A 80.000000 83.125000 3.125000
BA 4E D1 BB B3 41 B2 C9 0F 5E 28.000000 28.451172 0.451172
4B CB C4 31 4D AA 30 4E 43 63 44.000000 42.656250 1.343750
B3 4A CB B3 3C C4 4E 4F 4F E5 -52.000000 -52.187500 0.187500
CB D1 36 C3 D1 CC CF 44 B6 6B 88.000000 87.812500 0.187500
52 BD C9 D0 C4 D2 CF 3D D0 C4 -3.000000 -1.000000 2.000000
48 52 CB CE 47 51 4C 35 BE 68 64.000000 64.562500 0.562500
3D 3D 49 D2 B7 35 3A 3A C1 D2 -10.000000 -9.328125 0.671875
4F 4D 39 C0 3B 4F C9 42 CA 64 48.000000 44.000000 4.000000
BD C2 D1 3B 4B CE 4B 45 CC E3 -44.000000 -42.468750 1.531250
4C 4C 39 4E CA 4D B6 CF B4 E3 -44.000000 -45.234375 1.234375
31 48 C4 45 D1 C8 40 BC 42 DE -28.000000 -29.437500 1.437500
29 46 48 3F D2 C3 CC D1 C2 E6 -56.000000 -55.812500 0.187500
98 49 C7 51 BE C5 4B 4F 41 61 36.000000 34.609375 1.390625
C1 3D 3E D0 4E 49 4A 3A 50 C0 -2.000000 -1.687500 0.312500
45 CD 50 44 CE CF 42 4B CC 66 56.000000 56.500000 0.500000
39 D1 C3 4E CE D2 C5 52 CA 72 160.000000 156.062500 3.937500
C1 52 45 C8 CD 40 D1 CC CC 5B 22.000000 23.375000 1.375000
47 4F 51 C2 C9 C7 C7 48 B3 EB -88.000000 -89.437500 1.437500
CE D1 AD 4D 3D CD C9 4A D2 69 72.000000 71.453125 0.546875
C9 CD CA BF CD BC CF 4A 50 69 72.000000 75.125000 3.125000
C4 B2 3C 51 CE CC 99 C2 C5 B0 -0.500000 -1.105469 0.605469
38 C7 42 C2 C4 33 3D 42 D1 D9 -18.000000 -16.765625 1.234375
51 C0 C0 4F B7 D1 46 B3 D1 D4 -12.000000 -11.593750 0.406250
C9 4A D1 CB C3 1A B1 51 39 DF -30.000000 -30.546875 0.546875
C9 49 4E 4B CC CA 47 23 BC 5F 30.000000 30.195312 0.195312
CD 50 44 42 C0 4F 4D C4 C5 6A 80.000000 81.750000 1.750000
8C D1 45 CB 4C 4F C1 4C D0 EE -112.000000 -115.953125 3.953125
50 4E C5 CB 38 3E B0 2D C8 58 16.000000 15.640625 0.359375
CE 50 C3 D1 CD 4D CF CF CB 74 192.000000 180.125000 11.875000
46 C6 CB 46 40 45 44 3E C8 D9 -18.000000 -18.750000 0.750000
50 D2 51 51 45 45 37 A0 B5 36 0.875000 0.000000 0.875000
C2 49 52 D2 D2 40 D2 D0 42 58 16.000000 16.500000 0.500000
C4 A3 30 D0 C9 B8 4F D2 39 6C 96.000000 98.546875 2.546875
D2 C7 4A 47 31 51 51 4D 50 61 36.000000 38.000000 2.000000
BB D2 B8 CA CC 32 4B 4A CF E1 -36.000000 -36.000000 0.000000
41 4F CB CB 01 BA 51 C4 4C E1 -36.000000 -36.370605 0.370605
A9 D2 D2 C9 50 4D CD 50 4D E0 -32.000000 -31.750000 0.250000
52 B7 4F CC D0 4C CD 4A 32 F3 -176.000000 -163.750000 12.250000
C2 28 D1 38 51 4C 29 C7 BF DE -28.000000 -29.156250 1.156250
4E B5 CA D1 CD 50 CB D1 4A 67 60.000000 61.500000 1.500000
CA 47 CE 50 D1 4D CA 51 CD 72 160.000000 169.875000 9.875000
CE D1 D1 C9 CE 48 C6 CE 50 6A 80.000000 84.000000 4.000000
CF D1 CC D0 CA CC D0 4B C9 6A 80.000000 91.000000 11.000000
